lambda [*] :=
 101 7.29941e-11    351 1              601 6.92385e-11    851 1
 102 1.44242e-10    352 1              602 1.63971e-10    852 8.44853e-11
 103 2.78673e-11    353 1.34344e-10    603 4.32445e-11    853 7.27969e-11
 104 4.98659e-11    354 2.85302e-11    604 4.33443e-11    854 6.27016e-11
 105 1              355 3.73464e-10    605 1.08031e-10    855 9.49545e-11
 106 1              356 1.03581e-10    606 1              856 2.19451e-10
 107 1              357 1              607 1.03128e-10    857 1
 108 8.02497e-11    358 9.74492e-11    608 5.78607e-11    858 1
 109 7.75562e-11    359 1              609 1              859 4.78278e-11
 110 1.97222e-10    360 1.6519e-10     610 7.88891e-11    860 6.75232e-11
 111 3.43066e-10    361 6.25639e-11    611 1              861 3.64684e-11
 112 1              362 2.68007e-10    612 1              862 2.79423e-11
 113 3.51459e-11    363 1              613 8.36801e-11    863 1
 114 9.54504e-11    364 1              614 3.81456e-11    864 2.99137e-11
 115 1              365 1              615 4.28436e-11    865 3.47248e-10
 116 3.08136e-11    366 1              616 3.13068e-11    866 1.35954e-10
 117 1.49307e-10    367 1              617 4.83323e-11    867 1.76077e-10
 118 1              368 1              618 8.02329e-11    868 2.09269e-10
 119 6.76902e-11    369 1              619 6.16485e-11    869 1.70967e-10
 120 1              370 1              620 1              870 4.3941e-10
 121 8.86111e-10    371 1              621 2.11502e-10    871 1.68019e-09
 122 9.98019e-11    372 6.48099e-11    622 1              872 1.65061e-09
 123 3.98559e-11    373 1              623 9.13244e-11    873 4.89259e-11
 124 5.37421e-11    374 4.64875e-11    624 1              874 1
 125 5.29749e-11    375 9.88954e-11    625 1.90703e-10    875 3.71815e-11
 126 1.51425e-10    376 3.97821e-11    626 1              876 1
 127 3.33978e-10    377 1              627 4.27994e-11    877 4.83929e-10
 128 2.30078e-10    378 3.10654e-11    628 1              878 4.50818e-11
 129 1              379 3.45783e-11    629 2.97939e-10    879 2.23789e-09
 130 1              380 2.56875e-11    630 6.86621e-11    880 1
 131 4.60552e-11    381 3.9115e-10     631 4.18006e-11    881 5.96085e-11
 132 3.51566e-11    382 7.62986e-11    632 1.02786e-10    882 1
 133 5.68522e-11    383 4.1899e-11     633 1              883 5.34122e-11
 134 5.11794e-11    384 5.85457e-11    634 1              884 4.48495e-11
 135 7.84768e-11    385 1.64376e-10    635 1              885 1
 136 1              386 1              636 1.07109e-10    886 6.03798e-10
 137 6.08429e-11    387 1              637 8.41202e-11    887 1
 138 1.69069e-10    388 5.84752e-11    638 1              888 8.94616e-11
 139 3.27074e-11    389 5.35952e-11    639 1.85276e-09    889 6.6787e-11
 140 1.74658e-10    390 3.60053e-11    640 1.00459e-10    890 1.37374e-09
 141 8.60649e-11    391 1              641 7.33645e-11    891 4.68252e-11
 142 1.17845e-10    392 3.0095e-11     642 1              892 6.83552e-11
 143 7.12137e-11    393 1.90932e-10    643 4.49972e-11    893 1
 144 5.76334e-11    394 1.83339e-09    644 3.36816e-11    894 6.58278e-11
 145 1.66826e-10    395 4.30625e-11    645 4.92626e-11    895 1
 146 4.21228e-11    396 2.58613e-11    646 1              896 4.9317e-11
 147 3.02545e-11    397 3.86417e-11    647 7.65782e-11    897 2.62769e-11
 148 1              398 3.08671e-10    648 1              898 4.56206e-11
 149 1              399 4.89074e-11    649 5.5559e-11     899 1.38801e-10
 150 3.08035e-11    400 1              650 1              900 2.05167e-10
 151 4.1961e-11     401 7.92964e-11    651 1              901 6.11184e-11
 152 3.50813e-11    402 1              652 4.82171e-11    902 3.28133e-11
 153 3.06999e-11    403 1              653 1.2587e-10     903 1
 154 1.57367e-10    404 7.15489e-11    654 1.67095e-10    904 2.74294e-11
 155 5.29547e-11    405 1              655 1              905 1
 156 1              406 1              656 4.91739e-11    906 1
 157 9.27119e-11    407 2.30002e-10    657 7.38308e-11    907 1.2005e-10
 158 2.06158e-09    408 1              658 1              908 3.30595e-11
 159 1.35807e-10    409 1              659 1              909 4.53214e-11
 160 5.40944e-11    410 1              660 1              910 1.56124e-10
